date,open,high,low,close,volume,time,date_only,ticker
2024-10-07 13:20:00+05:30,2188.55,2190.0,2185.1,2186.5,514,13:20:00,2024-10-07,ENDURANCE
2024-10-07 13:25:00+05:30,2185.1,2187.25,2180.05,2185.55,1291,13:25:00,2024-10-07,ENDURANCE
2024-10-07 13:30:00+05:30,2185.55,2189.25,2185.55,2187.4,228,13:30:00,2024-10-07,ENDURANCE
2024-10-07 13:35:00+05:30,2187.4,2188.35,2180.0,2180.9,756,13:35:00,2024-10-07,ENDURANCE
2024-10-07 13:40:00+05:30,2180.9,2186.5,2180.0,2186.5,206,13:40:00,2024-10-07,ENDURANCE
2024-10-07 13:45:00+05:30,2186.5,2188.55,2181.85,2182.05,389,13:45:00,2024-10-07,ENDURANCE
2024-10-07 13:50:00+05:30,2182.05,2186.85,2182.05,2184.95,128,13:50:00,2024-10-07,ENDURANCE
2024-10-07 13:55:00+05:30,2184.95,2189.65,2184.15,2187.1,276,13:55:00,2024-10-07,ENDURANCE
2024-10-07 14:00:00+05:30,2187.0,2196.35,2186.9,2187.4,2017,14:00:00,2024-10-07,ENDURANCE
2024-10-07 14:05:00+05:30,2187.4,2193.7,2186.9,2191.7,1044,14:05:00,2024-10-07,ENDURANCE
2024-10-07 14:10:00+05:30,2191.7,2191.9,2189.25,2189.5,443,14:10:00,2024-10-07,ENDURANCE
2024-10-07 14:15:00+05:30,2189.5,2193.95,2186.3,2191.25,4844,14:15:00,2024-10-07,ENDURANCE
2024-10-07 14:20:00+05:30,2188.1,2193.55,2185.05,2188.95,6676,14:20:00,2024-10-07,ENDURANCE
2024-10-07 14:25:00+05:30,2188.95,2192.3,2174.05,2177.25,6710,14:25:00,2024-10-07,ENDURANCE
2024-10-07 14:30:00+05:30,2176.75,2183.8,2176.05,2182.25,434,14:30:00,2024-10-07,ENDURANCE
2024-10-07 14:35:00+05:30,2182.25,2188.5,2165.15,2184.9,47298,14:35:00,2024-10-07,ENDURANCE
2024-10-07 14:40:00+05:30,2184.95,2190.0,2181.75,2187.7,4124,14:40:00,2024-10-07,ENDURANCE
2024-10-07 14:45:00+05:30,2187.7,2192.65,2185.25,2188.6,4389,14:45:00,2024-10-07,ENDURANCE
2024-10-07 14:50:00+05:30,2188.8,2192.45,2183.35,2189.95,6554,14:50:00,2024-10-07,ENDURANCE
2024-10-07 14:55:00+05:30,2190.15,2191.0,2176.3,2183.25,4110,14:55:00,2024-10-07,ENDURANCE
2024-10-07 15:00:00+05:30,2183.3,2185.0,2179.55,2183.7,2337,15:00:00,2024-10-07,ENDURANCE
2024-10-07 15:05:00+05:30,2181.45,2185.0,2177.8,2182.45,3135,15:05:00,2024-10-07,ENDURANCE
2024-10-07 15:10:00+05:30,2182.55,2185.0,2180.85,2184.4,2267,15:10:00,2024-10-07,ENDURANCE
2024-10-07 15:15:00+05:30,2182.9,2185.0,2174.95,2180.0,2944,15:15:00,2024-10-07,ENDURANCE
2024-10-07 15:20:00+05:30,2179.05,2180.0,2168.1,2178.8,4721,15:20:00,2024-10-07,ENDURANCE
2024-10-07 15:25:00+05:30,2176.05,2189.1,2172.2,2180.0,11394,15:25:00,2024-10-07,ENDURANCE
2024-10-07 09:15:00+05:30,205.24,206.39,204.66,205.02,215585,09:15:00,2024-10-07,ENGINERSIN
2024-10-07 09:20:00+05:30,205.01,205.01,204.1,204.1,112959,09:20:00,2024-10-07,ENGINERSIN
2024-10-07 09:25:00+05:30,204.15,204.5,202.66,203.01,111394,09:25:00,2024-10-07,ENGINERSIN
2024-10-07 09:30:00+05:30,202.86,203.87,202.77,203.5,80623,09:30:00,2024-10-07,ENGINERSIN
2024-10-07 09:35:00+05:30,203.45,203.6,201.84,202.11,115817,09:35:00,2024-10-07,ENGINERSIN
2024-10-07 09:40:00+05:30,202.19,202.19,200.6,200.95,67279,09:40:00,2024-10-07,ENGINERSIN
2024-10-07 09:45:00+05:30,201.0,201.25,200.26,200.34,64347,09:45:00,2024-10-07,ENGINERSIN
2024-10-07 09:50:00+05:30,200.4,200.5,198.9,199.19,116823,09:50:00,2024-10-07,ENGINERSIN
